name,tn,fp,fn,tp,acc,roc_auc,f1,mcc,kappa,ef0_5,ef1,ef2,ef5,tn_ci,fp_ci,fn_ci,tp_ci,acc_ci,roc_auc_ci,f1_ci,mcc_ci,kappa_ci,ef0_5_ci,ef1_ci,ef2_ci,ef5_ci,tn_err,fp_err,fn_err,tp_err,acc_err,roc_auc_err,f1_err,mcc_err,kappa_err,ef0_5_err,ef1_err,ef2_err,ef5_err
abl1,2429.9432,18.773,19.0405,51.2433,0.9849886859864903,0.969477366661661,0.7291908357594538,0.7222443682259923,0.7214847023946458,36.33041491250416,36.33041491250416,36.31829402870711,19.999546213917167,"(2429.764495120261, 2430.1219048797393)","(18.68632357448605, 18.85967642551395)","(18.95487673994242, 19.126123260057582)","(51.10733617265819, 51.37926382734181)","(0.9849398224249056, 0.9850375495480995)","(0.969241143652051, 0.969713589671274)","(0.7283405894946909, 0.7300410820242104)","(0.7213766320845951, 0.7231121043673701)","(0.7206149310339025, 0.7223544737553769)","(36.24616992473583, 36.4146599002728)","(36.24616992473583, 36.4146599002728)","(36.234771673133245, 36.4018163842813)","(19.9642274145849, 20.034865013248723)",0.1787048797391435,0.08667642551395005,0.08562326005758081,0.13596382734181134,4.8863561596945715e-05,0.00023622300961145815,0.0008502462647597131,0.0008677361413874651,0.0008697713607371815,0.08424498776848566,0.08424498776848566,0.08352235557402565,0.035318799331911066
akt1,3571.0007,11.6444,13.8091,48.5458,0.9930168724279601,0.9700039654630153,0.7908654283672338,0.7881285502324564,0.7873212007491904,59.49087190580969,59.49087190580969,48.276627155887645,19.402111158546028,"(3570.829139987629, 3571.172260012371)","(11.581890888814762, 11.706909111185237)","(13.734549178683263, 13.883650821316738)","(48.409015066199096, 48.682584933800904)","(0.9929901049491633, 0.993043639906804)","(0.9697084899740795, 0.9702994409519567)","(0.7900707818714867, 0.7916600748629454)","(0.7873282996289356, 0.7889288008359397)","(0.7865161001110057, 0.7881263013873674)","(59.33147336173049, 59.650270449888424)","(59.33147336173049, 59.650270449888424)","(48.19855559695395, 48.35469871482219)","(19.37065150109544, 19.433570815996287)",0.1715600123711738,0.06250911118523739,0.07455082131673763,0.13678493380090373,2.676747882035535e-05,0.0002954754889386013,0.0007946464957293564,0.000800250603502084,0.0008051006381808445,0.15939854407896803,0.15939854407896803,0.07807155893411988,0.031459657450422895
akt2,1696.1404,12.9122,11.2831,34.6643,0.9862135042736409,0.9720865481931109,0.7384960241491205,0.7325689373626798,0.7314345990748455,39.10727782557733,39.10727782557733,38.957774813248086,20.774504143401327,"(1695.9911844088078, 1696.2896155911922)","(12.843867635946594, 12.980532364053406)","(11.223332553588254, 11.342867446411745)","(34.54500969939656, 34.783590300603436)","(0.9861621801126077, 0.9862648284344009)","(0.9717969508388319, 0.9723761455473839)","(0.7374796157340249, 0.7395124325641598)","(0.7315401082310963, 0.7335977664942793)","(0.7303996411447338, 0.7324695570049988)","(38.98577475282326, 39.22878089833604)","(38.98577475282326, 39.22878089833604)","(38.84037027635, 39.07517935015011)","(20.731901627658434, 20.817106659144965)",0.14921559119216,0.06833236405340593,0.059767446411745695,0.11929030060343848,5.1324160896593085e-05,0.00028959735427602773,0.001016408415067449,0.0010288291315915243,0.0010349579301325296,0.12150307275638994,0.12150307275638994,0.11740453690005381,0.04260251574326546
ampc,692.8296,2.9526,7.036,9.1818,0.9859710674157003,0.9653234379322786,0.6374356066088492,0.6420368394858831,0.630564569212856,46.758032037915775,45.983189690235314,36.81735018403782,15.003375664278778,"(692.7467287939998, 692.9124712060003)","(2.9193687163371886, 2.985831283662811)","(6.9856760056628255, 7.086323994337174)","(9.121620572025254, 9.241979427974748)","(0.9858874350666287, 0.9860546997648323)","(0.9649864700571051, 0.9656604058074263)","(0.6352787235892249, 0.6395924896284199)","(0.6399398871109807, 0.6441337918608359)","(0.6283849981714801, 0.6327441402542587)","(46.494202839352155, 47.02186123647594)","(45.737471062841145, 46.2289083176263)","(36.64949391112603, 36.98520645694937)","(14.932525034112581, 15.074226294444768)",0.0828712060002772,0.03323128366281125,0.05032399433717405,0.06017942797474696,8.363234910180317e-05,0.00033696787516057647,0.0021568830195974886,0.0020969523749275742,0.0021795710413893277,0.26382919856189346,0.2457186273925771,0.1678562729116706,0.07085063016609361
braf,2461.4062,18.6976,13.052,48.8442,0.9875099921320598,0.9860658007253018,0.7534956859330997,0.7486420606914914,0.7471125740575321,41.75219035292964,41.75219035292964,41.67776549311355,21.944600834669615,"(2461.2299330088053, 2461.5824669911945)","(18.61201423532995, 18.78318576467005)","(12.979638409705139, 13.12436159029486)","(48.71174159502646, 48.97665840497354)","(0.9874655210939824, 0.9875544631703765)","(0.9859397560053369, 0.986191845445294)","(0.7526607748302415, 0.7543305970359567)","(0.7477958842939522, 0.7494882370890595)","(0.7462602208945569, 0.747964927220493)","(41.64374677347849, 41.86063393238023)","(41.64374677347849, 41.86063393238023)","(41.57125386921235, 41.784277117014234)","(21.905763855541522, 21.9834378137974)",0.17626699119455225,0.08558576467004997,0.07236159029486089,0.13245840497354067,4.447103819704701e-05,0.0001260447199785686,0.0008349111028576051,0.0008461763975536885,0.0008523531629680559,0.10844357945087069,0.10844357945087069,0.10651162390094271,0.038836979127939486
cdk2,6871.7702,147.6218,47.5941,151.0139,0.9729542948185346,0.9643256192475992,0.6069249110077132,0.6070408879116298,0.5935213229048985,36.535369858304854,36.535369858304854,36.535369858304854,30.143584664285676,"(6871.401502779713, 6872.138897220287)","(147.38079942812473, 147.86280057187528)","(47.460311986494226, 47.72788801350577)","(150.77400284863225, 151.25379715136776)","(0.9729158575831499, 0.9729927320538684)","(0.9642024157027652, 0.9644488227924474)","(0.6064111172737294, 0.6074387047417147)","(0.6065382432616597, 0.607543532561615)","(0.5929967250023697, 0.5940459208074357)","(36.48257901781753, 36.58816069878944)","(36.48257901781753, 36.58816069878944)","(36.48257901781753, 36.58816069878944)","(30.109145592500067, 30.178023736072095)",0.36869722028677643,0.24100057187527568,0.13378801350577163,0.23989715136775658,3.843723535923438e-05,0.00012320354484107732,0.0005137937339926291,0.0005026446499776238,0.0005245979025330083,0.052790840485954504,0.052790840485954504,0.052790840485954504,0.03443907178601435
cp3a4,2591.4199,24.2307,31.0926,42.2568,0.9794260691706859,0.9395849198080601,0.6028036656079712,0.5939843173944913,0.5922991095101541,37.16749889884112,37.16749889884112,37.07191680633977,18.301748008406694,"(2591.233962142153, 2591.605837857847)","(24.13089577974008, 24.330504220259918)","(30.98474785866209, 31.200452141337912)","(42.13415534573876, 42.379444654261235)","(0.9793727169402058, 0.9794794214011848)","(0.9392927351915377, 0.9398771044245939)","(0.6018545486091998, 0.6037527826067078)","(0.5930166390023712, 0.5949519957865912)","(0.5913318205611092, 0.5932663984591898)","(37.08064202112133, 37.254355776562456)","(37.08064202112133, 37.254355776562456)","(36.987358760631075, 37.15647485204945)","(18.26218231859496, 18.341313698219018)",0.18593785784696593,0.09980422025991942,0.10785214133791143,0.1226446542612365,5.335223048952287e-05,0.000292184616528135,0.000949116998753996,0.000967678392109983,0.0009672889490403014,0.08685687772056383,0.08685687772056383,0.08455804570918701,0.03956568981202935
csf1r,3065.2587,30.8232,15.9938,49.9243,0.9851938646425032,0.9833052462157355,0.6798949862312668,0.6767719237356282,0.6724134795124739,48.58195772782793,48.58195772782793,48.55617160679529,24.62880009949161,"(3065.0714492674165, 3065.4459507325832)","(30.710304559065293, 30.936095440934707)","(15.915675834982968, 16.071924165017034)","(49.798080822155335, 50.05051917784467)","(0.9851503276478037, 0.985237401637459)","(0.983207304600481, 0.9834031878310387)","(0.6790517516841584, 0.6807382207783718)","(0.6759227155700468, 0.6776211319012234)","(0.6715540285192861, 0.6732729305056361)","(48.47312763036788, 48.69078782528579)","(48.47312763036788, 48.69078782528579)","(48.44795338754188, 48.66438982604645)","(24.583234128040296, 24.67436607094296)",0.18725073258337943,0.11289544093470738,0.07812416501703279,0.12621917784466774,4.353699482761986e-05,9.794161527887368e-05,0.0008432345471066638,0.000849208165588311,0.0008594509931749705,0.10883009745895578,0.10883009745895578,0.10821821925228647,0.04556597145133168
cxcr4,845.6477,4.9891,4.178,27.1852,0.9896064625849793,0.9954685976409144,0.8539447698511154,0.8496985492669972,0.848565656375394,29.07375183158788,29.07375183158788,29.053515691237013,20.66926752735702,"(845.533478313541, 845.761921686459)","(4.945785896774568, 5.032414103225431)","(4.138411097172208, 4.217588902827792)","(27.086584863666165, 27.283815136333832)","(0.9895388544051554, 0.9896740707649127)","(0.995423642327826, 0.995513552953982)","(0.8529844856538361, 0.8549050540483808)","(0.8487155669553033, 0.8506815315786926)","(0.847575373905144, 0.8495559388456445)","(28.962242755363125, 29.185260907813312)","(28.962242755363125, 29.185260907813312)","(28.94350527892369, 29.163526103550996)","(20.629183698138295, 20.709351356577333)",0.1142216864590182,0.04331410322543139,0.03958890282779226,0.09861513633383368,6.760817987860879e-05,4.495531307802114e-05,0.000960284197272343,0.0009829823116946912,0.0009902824702502366,0.11150907622509365,0.11150907622509365,0.1100104123136525,0.04008382921951892
egfr,8626.2873,56.2488,30.1296,160.3343,0.9902650287388481,0.9852548902491799,0.7874822349741493,0.7844208957854617,0.7825241861733531,46.8064648441795,46.8064648441795,46.80125904235418,22.752086780985945,"(8625.989708129782, 8626.584891870218)","(56.10089194614034, 56.39670805385967)","(30.02281243111237, 30.23638756888763)","(160.10087655046246, 160.56772344953757)","(0.9902443537408435, 0.9902857037368981)","(0.9851605020792787, 0.9853492784191017)","(0.7870465091888744, 0.7879179607593899)","(0.7839816207744181, 0.7848601707965215)","(0.7820798781734943, 0.7829684941732553)","(46.74311474466874, 46.86981494368971)","(46.74311474466874, 46.86981494368971)","(46.738201060213605, 46.86431702449426)","(22.73192022885659, 22.772253333114822)",0.2975918702177296,0.1479080538596662,0.10678756888762919,0.233423449537554,2.067499802727024e-05,9.438816991147458e-05,0.00043572578525774563,0.0004392750110516763,0.00044430799988048886,0.06335009951048676,0.06335009951048676,0.06305798214032876,0.020166552129115445
