name,tn,fp,fn,tp,acc,roc_auc,f1,mcc,kappa,ef0_5,ef1,ef2,ef5,tn_ci,fp_ci,fn_ci,tp_ci,acc_ci,roc_auc_ci,f1_ci,mcc_ci,kappa_ci,ef0_5_ci,ef1_ci,ef2_ci,ef5_ci,tn_err,fp_err,fn_err,tp_err,acc_err,roc_auc_err,f1_err,mcc_err,kappa_err,ef0_5_err,ef1_err,ef2_err,ef5_err
abl1,2442.1595,18.7001,35.2048,34.9356,0.9787021335440474,0.9322369697962231,0.5623898697068386,0.5578562054813633,0.5517125297081203,36.595782304233566,36.595782304233566,35.2338594932965,15.309268667203886,"(2441.9779918894615, 2442.341008110539)","(18.618007777674826, 18.782192222325172)","(35.09081326258409, 35.318786737415905)","(34.81785623855603, 35.05334376144397)","(0.9786451413661268, 0.978759125721981)","(0.9318883808216513, 0.9325855587707873)","(0.5613057673791981, 0.5634739720344752)","(0.5567653764632889, 0.5589470344994547)","(0.5506110064502601, 0.5528140529659973)","(36.50855141838576, 36.68301319008172)","(36.50855141838576, 36.68301319008172)","(35.15949364322108, 35.30822534337244)","(15.274404296025576, 15.344133038382186)",0.1815081105387435,0.08209222232517277,0.1139867374159067,0.11774376144396825,5.699217792709543e-05,0.0003485889745680204,0.0010841023276385586,0.001090829018082884,0.0011015232578686085,0.08723088584797978,0.08723088584797978,0.07436585007567942,0.034864371178304765
akt1,3573.4829,11.8656,35.9067,25.7448,0.9869009322730943,0.9687151389473544,0.516165582841187,0.5272693093179833,0.509961218560192,60.1617019370423,57.11621751268224,30.6565328107074,12.296301621877017,"(3573.3155598839217, 3573.6502401160783)","(11.798307357943044, 11.932892642056958)","(35.78864896885077, 36.02475103114923)","(25.645203536521798, 25.844396463478205)","(0.9868639051806303, 0.9869379593655725)","(0.9685278778494676, 0.9689024000452483)","(0.5149689359121735, 0.5173622297701855)","(0.5260892918487412, 0.528449326787239)","(0.5087560682814959, 0.5111663688388893)","(60.0067740558018, 60.316629818288206)","(56.97768739377564, 57.25474763159332)","(30.56973150895753, 30.743334112456957)","(12.261485715131318, 12.331117528622844)",0.16734011607832144,0.06729264205695706,0.11805103114922844,0.09959646347820339,3.7027092471109135e-05,0.0001872610978903566,0.0011966469290060067,0.0011800174692488952,0.0012051502786967205,0.15492788124320356,0.13853011890883948,0.08680130174971268,0.03481590674576296
akt2,1697.4071,12.9165,15.998,29.6784,0.9835338838268728,0.9785463194587888,0.6699125243312608,0.6631050184516922,0.6615053893078862,39.29069787737846,39.29069787737846,38.819770793777494,18.726639161218745,"(1697.2596865764185, 1697.5545134235813)","(12.845401029411104, 12.987598970588895)","(15.923001203936858, 16.072998796063143)","(29.57194406470887, 29.78485593529113)","(0.98347288447196, 0.9835948831817987)","(0.9784073924818968, 0.9786852464357045)","(0.6687328633191298, 0.6710921853433918)","(0.6619048650403565, 0.6643051718630391)","(0.660303266506644, 0.6627075121091339)","(39.17390454715529, 39.40749120759888)","(39.17390454715529, 39.40749120759888)","(38.71635083544766, 38.92319075210458)","(18.682775012736833, 18.77050330970092)",0.14741342358138354,0.07109897058889558,0.07499879606314241,0.10645593529113029,6.099935491932218e-05,0.0001389269769038748,0.0011796610121309614,0.001200153411341276,0.001202122801244987,0.11679333022179605,0.11679333022179605,0.10341995832845896,0.043864148482043674
ampc,687.9833,7.9803,9.9952,6.0412,0.9747535112359442,0.9485888625149097,0.3933699172279694,0.3861531388464843,0.3808211209150808,47.36626819636558,47.23124527642835,41.546953338307695,17.953571883806962,"(687.8868703675297, 688.0797296324703)","(7.922298616938549, 8.038301383061452)","(9.933764154980564, 10.056635845019438)","(5.99256441559048, 6.08983558440952)","(0.9746369143314407, 0.9748701081404693)","(0.9482341858730653, 0.9489435391567839)","(0.39109174119352275, 0.3956480932624128)","(0.38383642129050527, 0.3884698564024573)","(0.3785170813188842, 0.38312516051126755)","(47.11047475803584, 47.622061634690844)","(46.9771803962003, 47.485310156651956)","(41.322385643184035, 41.771521033429394)","(17.842746242628618, 18.064397524985008)",0.09642963247029002,0.05800138306145142,0.061435845019436996,0.04863558440951987,0.00011659690451426563,0.00035467664185928616,0.002278176034445023,0.002316717555976011,0.002304039596191687,0.2557934383275011,0.2540648802258261,0.22456769512267982,0.11082564117819516
braf,2442.7574,38.048,24.9031,37.2915,0.9752453401494428,0.9403170345341018,0.5406264571737485,0.5316203137425195,0.5280710920426295,41.530153521026904,41.530153521026904,41.530153521026904,24.464532485946844,"(2442.5677004041195, 2442.9470995958804)","(37.92869473631594, 38.167305263684064)","(24.80232400842936, 25.003875991570638)","(37.17565489077618, 37.40734510922382)","(0.9751854110266651, 0.9753052692721946)","(0.9399567156393461, 0.9406773534288592)","(0.5396235655188756, 0.5416293488286076)","(0.5306028796376561, 0.5326377478473561)","(0.5270498635653884, 0.5290923205198899)","(41.42711726966319, 41.6331897723909)","(41.42711726966319, 41.6331897723909)","(41.42711726966319, 41.6331897723909)","(24.406873708719147, 24.522191263174015)",0.18969959588048368,0.11930526368406191,0.10077599157063943,0.11584510922381952,5.9929122764756926e-05,0.00036031889475651724,0.0010028916548660005,0.0010174341048500013,0.001021228477250724,0.10303625136385364,0.10303625136385364,0.10303625136385364,0.0576587772274344
cdk2,6981.2552,58.2461,116.8259,82.6728,0.9758154441221082,0.9389545118130993,0.48511064945986315,0.48096147647729365,0.47312224776011924,36.451155084909715,36.451155084909715,34.63206243591392,14.150583281423433,"(6980.944855912291, 6981.565544087708)","(58.09811709324059, 58.39408290675941)","(116.611875363712, 117.039924636288)","(82.49638510989372, 82.84921489010627)","(0.9757777949846732, 0.9758530932595596)","(0.9388266757262571, 0.9390823478999628)","(0.4844258297181141, 0.48579546920160555)","(0.48027254597472513, 0.4816504069798566)","(0.47242641634044524, 0.4738180791798008)","(36.402890045147714, 36.49942012467142)","(36.402890045147714, 36.49942012467142)","(34.587211196313454, 34.67691367551398)","(14.129575604332066, 14.171590958515056)",0.3103440877084722,0.14798290675940962,0.21402463628800206,0.17641489010627254,3.764913744319642e-05,0.00012783608685285053,0.0006848197417457236,0.0006889305025657433,0.0006958314196777726,0.04826503976185137,0.04826503976185137,0.044851239600262716,0.02100767709149487
cp3a4,2580.4506,35.6853,41.8241,31.04,0.9711753811826229,0.9346379918870152,0.4427654970579258,0.42940738049359406,0.4280593385583753,37.37511860781113,37.37511860781113,37.19961214169594,18.50092120132363,"(2580.253023070539, 2580.6481769294614)","(35.569595730063774, 35.80100426993622)","(41.694138870771745, 41.95406112922826)","(30.9284174643851, 31.1515825356149)","(0.9711110069879447, 0.9712397553772469)","(0.9343861934248098, 0.9348897903492258)","(0.44165960436078094, 0.4438713897550813)","(0.4282835487551659, 0.43053121223203533)","(0.42693517595324215, 0.4291835011635068)","(37.291515175782884, 37.45872203984184)","(37.291515175782884, 37.45872203984184)","(37.1192725037423, 37.279951779651846)","(18.454098190860787, 18.54774421178703)",0.1975769294613201,0.11570426993622362,0.1299611292282563,0.11158253561490028,6.437419465110672e-05,0.0002517984622080194,0.0011058926971501681,0.0011238317384347218,0.0011241626051323172,0.08360343202947718,0.08360343202947718,0.08033963795477206,0.04682301046312176
csf1r,3079.7771,16.0444,43.9283,22.2502,0.9810333017076611,0.9211362325499757,0.4235756166220849,0.43190643454164,0.4146975269329809,48.52966491091615,47.85910818218437,29.270803110182477,11.671269594566413,"(3079.6047768529456, 3079.949423147054)","(15.967952779958624, 16.120847220041377)","(43.796141281812744, 44.060458718187256)","(22.159106177012255, 22.341293822987744)","(0.9809866251292643, 0.9810799782862956)","(0.9207927014646039, 0.9214797636353526)","(0.42236781037754967, 0.4247834228666063)","(0.4307020392108469, 0.4331108298724284)","(0.4134814028829701, 0.41591365098299293)","(48.40891767705397, 48.65041214477545)","(47.742789715971014, 47.97542664839496)","(29.180258404461078, 29.361347815904388)","(11.635166325829417, 11.70737286330365)",0.17232314705415774,0.07644722004137616,0.13215871818725589,0.09109382298774449,4.667657851564755e-05,0.00034353108537432675,0.00120780624452832,0.001204395330790753,0.0012161240500114245,0.12074723386074027,0.11631846621197184,0.09054470572165485,0.03610326873711678
cxcr4,848.777,1.9672,5.1518,26.104,0.991928571428531,0.9826967180465819,0.8780078414502231,0.8761256008886721,0.8738535510834384,29.14212572658445,29.14212572658445,29.067349203458427,18.032251227794895,"(848.6663413729783, 848.8876586270218)","(1.939419549316087, 1.994980450683913)","(5.110496923239567, 5.1931030767604325)","(26.005522352560416, 26.202477647439583)","(0.9918716389669416, 0.9919855038902011)","(0.9823874658851413, 0.9830059702080538)","(0.8771350868231398, 0.8788805960772932)","(0.8752472763213781, 0.877003925455982)","(0.8729560055130666, 0.8747510966538102)","(29.03482802788418, 29.24942342528535)","(29.03482802788418, 29.24942342528535)","(28.963441871494386, 29.171256535423144)","(18.000366295973095, 18.064136159616986)",0.1106586270217349,0.027780450683912994,0.041303076760432766,0.09847764743958365,5.693246162974397e-05,0.0003092521614562749,0.0008727546270766995,0.0008783245673019691,0.0008975455703718049,0.10729769870058448,0.10729769870058448,0.10390733196437907,0.03188493182194563
egfr,8624.7061,59.373,66.5868,124.3341,0.9858073464788609,0.971331070193585,0.6632590249575622,0.6564567437702381,0.6560185599487736,46.75707979963038,46.75707979963038,45.992098540755286,19.27776364671477,"(8624.392324523793, 8625.019875476206)","(59.22013200712632, 59.52586799287368)","(66.42655267882382, 66.74704732117617)","(124.1198238854616, 124.54837611453841)","(0.9857822966050201, 0.9858323963527263)","(0.9712229310341554, 0.9714392093530317)","(0.662714649418444, 0.663803400496701)","(0.6559019902738213, 0.6570114972666526)","(0.6554651492414398, 0.6565719706561206)","(46.68659740555097, 46.82756219371234)","(46.68659740555097, 46.82756219371234)","(45.93227288507137, 46.051924196441576)","(19.254961613441772, 19.300565679987777)",0.3137754762065015,0.1528679928736807,0.1602473211761719,0.21427611453840711,2.5049873853100202e-05,0.00010813915943819197,0.0005443755391284499,0.0005547534964156497,0.0005534107073403849,0.07048239408068468,0.07048239408068468,0.059825655685102674,0.022802033273002564
