name,tn,fp,fn,tp,acc,roc_auc,f1,mcc,kappa,ef0_5,ef1,ef2,ef5,tn_ci,fp_ci,fn_ci,tp_ci,acc_ci,roc_auc_ci,f1_ci,mcc_ci,kappa_ci,ef0_5_ci,ef1_ci,ef2_ci,ef5_ci,tn_err,fp_err,fn_err,tp_err,acc_err,roc_auc_err,f1_err,mcc_err,kappa_err,ef0_5_err,ef1_err,ef2_err,ef5_err
abl1,2436.9251,24.2989,15.0581,54.7179,0.9844500197550212,0.970552302361785,0.7340062499394812,0.7282850132026442,0.7260444791159929,36.88415161291668,36.88415161291668,36.88181620345879,22.70084649652356,"(2436.7298676839036, 2437.120332316096)","(24.199718621959452, 24.398081378040548)","(14.981967860103286, 15.134232139896714)","(54.56737030487, 54.86842969513)","(0.9844004408562705, 0.9844995986538048)","(0.9703457800738713, 0.9707588246496857)","(0.733171906912556, 0.734840592966415)","(0.7274451541706941, 0.7291248722345729)","(0.7251913660331725, 0.7268975921987973)","(36.78866188036281, 36.97964134546962)","(36.78866188036281, 36.97964134546962)","(36.78644174460651, 36.977190662310115)","(22.660690136671125, 22.741002856376074)",0.19523231609628056,0.09918137804054794,0.07613213989671408,0.1505296951299968,4.957889876711086e-05,0.00020652228790718485,0.0008343430269295293,0.0008398590319393939,0.00085311308281244,0.09548973255340343,0.09548973255340343,0.09537445885180063,0.040156359852474566
akt1,3566.8799,17.957,15.1568,47.0063,0.9909202632300609,0.9872858847314925,0.7383939793237936,0.7347208440647239,0.7337845334844332,59.51582782211784,59.51582782211784,52.08516865471857,21.040089016865867,"(3566.7167003154623, 3567.0430996845375)","(17.880985996211468, 18.033014003788534)","(15.078929436536061, 15.23467056346394)","(46.88413818096454, 47.128461819035465)","(0.9908903086029114, 0.9909502178571928)","(0.9872008128822289, 0.9873709565807822)","(0.7375738022794185, 0.7392141563681742)","(0.7338899281031126, 0.7355517600263397)","(0.7329525322172581, 0.7346165347516604)","(59.37373564880165, 59.65791999543989)","(59.37373564880165, 59.65791999543989)","(51.99361546900188, 52.17672184043623)","(21.003081246850414, 21.077096786880233)",0.16319968453763067,0.07601400378853285,0.07787056346393939,0.12216181903546186,2.995462714072694e-05,8.507184927664113e-05,0.0008201770443778678,0.0008309159616135542,0.0008320012672011767,0.14209217331912072,0.14209217331912072,0.0915531857171743,0.037007770014909624
akt2,1699.389,10.6823,5.0272,40.9015,0.9910538154898146,0.9912529986488771,0.8375931990631196,0.8351830787380231,0.8330163958012953,39.10094887825424,39.10094887825424,39.08000776024182,22.518542749414582,"(1699.2401580513147, 1699.5378419486851)","(10.618565950062042, 10.746034049937958)","(4.985960687965977, 5.068439312034022)","(40.77665740839056, 41.026342591609435)","(0.9910091024675768, 0.9910985285119228)","(0.9911223092953955, 0.9913836880023817)","(0.8367986185881174, 0.8383877795380789)","(0.8343857415899493, 0.8359804158861118)","(0.8322028442129235, 0.8338299473896167)","(38.98273430485822, 39.2191634516463)","(38.98273430485822, 39.2191634516463)","(38.96405403464075, 39.19596148583892)","(22.4832611069513, 22.553824391877082)",0.14884194868523082,0.06373404993795795,0.041239312034022646,0.12484259160943623,4.4713022173015204e-05,0.00013068935349314081,0.0007945804749807106,0.0007973371480812785,0.0008135515883466171,0.11821457339404162,0.11821457339404162,0.11595372559908412,0.03528164246289123
ampc,688.2218,7.9639,8.9173,6.897,0.9762904494382043,0.9339784454239529,0.4420373712566612,0.4348545387651886,0.43016770486030476,48.03877424937475,48.02206404529303,44.11705606120116,19.395734512647298,"(688.1340389867811, 688.309561013219)","(7.908926983688082, 8.018873016311918)","(8.86082820162413, 8.973771798375868)","(6.847810973744124, 6.946189026255876)","(0.9761835372978763, 0.9763973615785283)","(0.9334661980905518, 0.9344906927573461)","(0.4398516791059664, 0.444223063407354)","(0.43262449590418356, 0.4370845816262074)","(0.4279534665466959, 0.43238194317391604)","(47.77965437867029, 48.297894120073536)","(47.76292420330253, 48.281203887278025)","(43.8822395582443, 44.35187256415278)","(19.28400502200797, 19.507464003286263)",0.08776101321893748,0.05497301631191798,0.05647179837586869,0.049189026255875845,0.00010691214032598761,0.0005122473333971644,0.0021856921506938076,0.002230042861011916,0.002214238313610062,0.2591198707016247,0.2591398419877464,0.23481650295423862,0.11172949063914572
braf,2462.8974,18.0916,15.1824,46.8286,0.986915454187973,0.9903025717797606,0.7366447579730234,0.7308357064800891,0.7299491822518416,41.64711941654681,41.64711941654681,41.541171696270496,21.038854475744568,"(2462.721731289768, 2463.073068710232)","(18.014185774853765, 18.169014225146235)","(15.107324554875396, 15.257475445124603)","(46.69882726661337, 46.95837273338663)","(0.9868719418900673, 0.9869589664858667)","(0.9902305495638055, 0.9903745939957254)","(0.7358341938200548, 0.7374553221259741)","(0.7300067275023119, 0.7316646854578517)","(0.7291218287337186, 0.7307765357699824)","(41.54447829108297, 41.74976054201096)","(41.54447829108297, 41.74976054201096)","(41.44228153416679, 41.64006185837449)","(21.004065702995184, 21.073643248493966)",0.17566871023200292,0.07741422514623508,0.07507544512460385,0.12977273338663053,4.35122978996727e-05,7.202221595992153e-05,0.0008105641529596586,0.0008289789777699008,0.0008273535181319014,0.10264112546399673,0.10264112546399673,0.09889016210384938,0.03478877274939052
cdk2,6840.0783,199.0241,47.4829,152.4147,0.9659473684210447,0.9673574225455132,0.5524466033157872,0.5595824700247038,0.5361547996397035,36.39939391408287,36.39939391408287,36.39939391408287,34.99047164161709,"(6839.702906439851, 6840.453693560149)","(198.75396043200007, 199.29423956799994)","(47.33721097472296, 47.628589025277044)","(152.17366039840826, 152.65573960159176)","(0.9659047487325798, 0.9659899881095255)","(0.9672358735841422, 0.967478971506875)","(0.5519274621606612, 0.5529657444709234)","(0.5590754429620168, 0.5600894970873946)","(0.5356251787569009, 0.5366844205225074)","(36.348364226115855, 36.45042360204972)","(36.348364226115855, 36.45042360204972)","(36.348364226115855, 36.45042360204972)","(34.94773856201859, 35.03320472121474)",0.3753935601489502,0.27013956799993366,0.14568902527704353,0.2410396015917513,4.26196884728558e-05,0.00012154896136640225,0.0005191411551310754,0.0005070270626889029,0.0005296208828032833,0.05102968796693119,0.05102968796693119,0.05102968796693119,0.042733079598072266
cp3a4,2589.4143,27.0463,34.5978,37.9416,0.9770754555596745,0.9555699855895596,0.5495858171989135,0.5396903171844829,0.5378977177094624,37.5869320298032,37.5869320298032,37.35090452333198,18.075263415732074,"(2589.221278839373, 2589.6073211606267)","(26.94419200844452, 27.148407991555477)","(34.487150811732484, 34.708449188267515)","(37.817431187468856, 38.06576881253115)","(0.9770203921192819, 0.9771305190000932)","(0.9554078905120388, 0.9557320806670714)","(0.5485687481710824, 0.5506028862267236)","(0.5386591944691819, 0.5407214398997924)","(0.5368644814419139, 0.5389309539769831)","(37.4976750839989, 37.67618897560885)","(37.4976750839989, 37.67618897560885)","(37.2669379862692, 37.43487106039626)","(18.03379091924122, 18.116735912223177)",0.19302116062681307,0.1021079915554779,0.1106491882675158,0.12416881253114553,5.506344040562272e-05,0.00016209507751629992,0.0010170690278206163,0.001031122715305255,0.0010332362675345985,0.08925694580497634,0.08925694580497634,0.08396653706353163,0.04147249649097873
csf1r,3070.3828,24.743,18.2,48.6742,0.9864190385830672,0.9750140683354177,0.6926047219736496,0.6872130190956653,0.6856905083063526,47.8621072670405,47.8621072670405,47.614677812555456,22.064874499482066,"(3070.212849554364, 3070.552750445636)","(24.646074051188634, 24.839925948811363)","(18.120421023533087, 18.27957897646691)","(48.54785653759846, 48.800543462401535)","(0.98638004897573, 0.9864580281906206)","(0.9748373802313783, 0.9751907564394662)","(0.6917428110214728, 0.6934666329258289)","(0.6863395900745117, 0.6880864481168267)","(0.6848135763122939, 0.6865674403003893)","(47.75677208281933, 47.96744245125823)","(47.75677208281933, 47.96744245125823)","(47.5171401134923, 47.7122155116154)","(22.0249858182729, 22.104763180691467)",0.1699504456360046,0.0969259488113643,0.07957897646691237,0.12634346240153604,3.898960744530555e-05,0.00017668810404392055,0.0008619109521780244,0.0008734290211575013,0.0008769319940477027,0.10533518421944876,0.10533518421944876,0.0975376990615473,0.039888681209284016
cxcr4,848.4422,2.0809,1.035,30.4419,0.99646723356001,0.9999176236073613,0.9504818227548271,0.9491904602349096,0.9486510159331351,28.882791440994684,28.882791440994684,28.868091440994682,20.735984839329085,"(848.3348703308495, 848.5495296691504)","(2.052937341225076, 2.108862658774924)","(1.0143341776250905, 1.0556658223749094)","(30.338199937559327, 30.545600062440673)","(0.9964272480336512, 0.9965072190865304)","(0.9999154953116072, 0.9999197519030858)","(0.9499145951955253, 0.9510490503141414)","(0.9486111250865376, 0.9497697953832579)","(0.9480641932733298, 0.9492378385929336)","(28.780042079168012, 28.985540802822996)","(28.780042079168012, 28.985540802822996)","(28.766624847055024, 28.969558034935982)","(20.712501659547392, 20.759468019111864)",0.10732966915043107,0.027962658774923987,0.020665822374909437,0.10370006244067298,3.9985526439578756e-05,2.1282957393120583e-06,0.0005672275593080478,0.0005793351483601716,0.0005868226598019222,0.10274936182749173,0.10274936182749173,0.1014665939404793,0.023483179782235908
egfr,8595.6219,88.3275,33.3151,157.7355,0.9862937915492923,0.9859785626457885,0.7212766799340313,0.7206105859799893,0.7143698014519894,46.694358562106764,46.694358562106764,46.694358562106764,25.79013379124355,"(8595.294118298958, 8595.949681701042)","(88.15106169125357, 88.50393830874643)","(33.20096240639351, 33.429237593606494)","(157.49193493260756, 157.97906506739244)","(0.9862699202159702, 0.9863176628826213)","(0.9858896699975495, 0.9860674552940327)","(0.720814883615672, 0.7217384762523886)","(0.7201519921276582, 0.721069179832313)","(0.7138994617712281, 0.7148401411327484)","(46.628238751591546, 46.76047837262315)","(46.628238751591546, 46.76047837262315)","(46.628238751591546, 46.76047837262315)","(25.765115403020534, 25.815152179467784)",0.3277817010421131,0.17643830874642674,0.11413759360649323,0.24356506739243855,2.3871333325597988e-05,8.889264824163412e-05,0.0004617963183582985,0.0004585938523273825,0.00047033968076015675,0.06611981051580074,0.06611981051580074,0.06611981051580074,0.02501838822362501
