name,tn,fp,fn,tp,acc,roc_auc,f1,mcc,kappa,ef0_5,ef1,ef2,ef5,tn_ci,fp_ci,fn_ci,tp_ci,acc_ci,roc_auc_ci,f1_ci,mcc_ci,kappa_ci,ef0_5_ci,ef1_ci,ef2_ci,ef5_ci,tn_err,fp_err,fn_err,tp_err,acc_err,roc_auc_err,f1_err,mcc_err,kappa_err,ef0_5_err,ef1_err,ef2_err,ef5_err
abl1,2458.4966,2.0202,32.1926,38.2906,0.986482497036762,0.9677936105456209,0.6884564874698345,0.7111931293367199,0.6821166987289046,36.427553046652115,36.413271848584465,28.253462043554656,11.39159650032642,"(2458.332484675594, 2458.660715324406)","(1.9933389497633391, 2.047061050236661)","(32.08725711111547, 32.29794288888453)","(38.16186018723554, 38.419339812764456)","(0.986440232943773, 0.9865247611297155)","(0.9675064168276808, 0.9680808042635705)","(0.6874433200644492, 0.6894696548752108)","(0.7103172998515674, 0.7120689588218834)","(0.681093410234173, 0.6831399872235895)","(36.3401587290701, 36.514947364233635)","(36.32662652402072, 36.49991717314776)","(28.193020963856245, 28.313903123254473)","(11.366410999762275, 11.416782000890523)",0.16411532440588417,0.026861050236660855,0.10534288888452892,0.1287398127644579,4.2264092971255884e-05,0.0002871937179448336,0.0010131674053808215,0.000875829485157964,0.00102328849470823,0.08739431758176863,0.08664532456351992,0.06044107969911394,0.02518550056412394
akt1,3582.9717,1.9828,28.8915,33.154,0.9915343295859717,0.9643305764574954,0.6803862795435105,0.7057410231291202,0.6764621171782631,59.77043179880907,54.63628013709127,28.33568056640367,11.365410337074417,"(3582.8121028638407, 3583.1312971361594)","(1.9548996025091625, 2.010700397490837)","(28.783051453424108, 28.999948546575894)","(33.04384080094224, 33.264159199057765)","(0.9915037001409976, 0.9915649590309246)","(0.9639574031280905, 0.9647037497869185)","(0.6793157914431563, 0.6814567676438329)","(0.7048170626855659, 0.7066649835726646)","(0.6753840581511654, 0.6775401762053912)","(59.61702641793919, 59.92383717968482)","(54.52204303735829, 54.7505172368257)","(28.269091092957765, 28.4022700398507)","(11.338701372450092, 11.392119301698358)",0.15959713615939108,0.02790039749083728,0.10844854657589309,0.11015919905776173,3.062944496345921e-05,0.0003731733294140005,0.0010704881003382738,0.0009239604435493654,0.0010780590271128876,0.15340538087281175,0.11423709973370677,0.06658947344646649,0.026708964624132747
akt2,1707.3495,1.9926,15.1277,31.5302,0.9902503986333239,0.9792639049109572,0.7839907003960813,0.7913578672641369,0.7791659673423226,38.45011142415317,38.44342190034363,34.57857857825603,14.351483705577662,"(1707.2160700586237, 1707.4829299413764)","(1.9675147153121562, 2.0176852846878437)","(15.053350128414719, 15.202049871585283)","(31.419801402347986, 31.640598597652016)","(0.9902057939982652, 0.9902950032682502)","(0.9790063457222038, 0.9795214640996814)","(0.782994817082386, 0.7849865837097331)","(0.7904368461252055, 0.7922788884030644)","(0.7781542594778669, 0.780177675206802)","(38.33698529148556, 38.56323755681623)","(38.330530769469725, 38.55631303121303)","(34.509374037292176, 34.64778311921867)","(14.32233151002671, 14.380635901128688)",0.13342994137633468,0.025085284687843767,0.07434987158528195,0.11039859765201498,4.460463499245115e-05,0.00025755918873882067,0.0009958833136735068,0.0009210211389294454,0.0010117078644675814,0.11312613266533589,0.11289113087165248,0.06920454096324846,0.02915219555098858
ampc,695.5153,0.9928,13.5571,1.9348,0.979564747191001,0.9673781367068587,0.2021210039939901,0.26631123301948223,0.19709525009933945,31.36026697430609,19.636430912180302,9.870317975158395,3.838456990339254,"(695.4371659873005, 695.5934340126995)","(0.972108410478076, 1.013491589521924)","(13.48587787412074, 13.62832212587926)","(1.908325441813742, 1.961274558186258)","(0.9794604324583894, 0.9796690619236329)","(0.9671319340701726, 0.9676243393435134)","(0.19964704247443602, 0.20459496551355458)","(0.26339550977051124, 0.26922695626846155)","(0.19464086141700382, 0.1995496387816702)","(31.039149710546575, 31.681384238063778)","(19.41110418781027, 19.861757636549047)","(9.755984241734762, 9.98465170858136)","(3.793993871785741, 3.882920108892751)",0.07813401269947917,0.02069158952192407,0.07122212587925958,0.02647455818625799,0.0001043147326217353,0.00024620263667041176,0.0024739615195592812,0.002915723248975155,0.0024543886823331917,0.3211172637586017,0.2253267243693884,0.11433373342329922,0.044463118553505154
braf,2481.0376,0.0,29.1069,32.8555,0.9885541093197117,0.9795506666111924,0.6913486748615273,0.7231138095165397,0.6861238097287145,41.72876885112226,41.42551419388286,26.46700421027256,10.628482005700077,"(2480.883631267965, 2481.191568732035)","(0.0, 0.0)","(28.99930104494282, 29.21449895505718)","(32.749115838975094, 32.961884161024905)","(0.9885117975009606, 0.9885964211384416)","(0.9793829040359754, 0.9797184291863907)","(0.690310212605665, 0.6923871371173407)","(0.7222713601669472, 0.723956258866156)","(0.6850750505130735, 0.6871725689443845)","(41.62033616538888, 41.83720153685694)","(41.32739507067074, 41.523633317096476)","(26.406394027165696, 26.527614393380972)","(10.604142483350003, 10.652821528050627)",0.1539687320350822,0,0.1075989550571812,0.10638416102490567,4.23118187404814e-05,0.000167762575207675,0.0010384622558378132,0.0008424493496044239,0.0010487592156555037,0.10843268573403009,0.09811912321286798,0.060610183107637994,0.024339522350311782
cdk2,7032.3486,7.0487,125.4946,74.1081,0.9816903854123243,0.9720991902175888,0.5269136038422604,0.575235127521746,0.5193014288814055,36.41929129336402,36.005357808594425,20.305032532897968,8.13323126317744,"(7032.091915236788, 7032.605284763213)","(6.996050987448696, 7.101349012551305)","(125.28575444811062, 125.70344555188939)","(73.93971267153123, 74.27648732846876)","(0.9816607505808002, 0.9817200202438991)","(0.9719874896288813, 0.972210890806258)","(0.5261746354135245, 0.5276525722709932)","(0.5746070315493955, 0.5758632234941176)","(0.5185600063040228, 0.5200428514587929)","(36.372639901302286, 36.46594268542487)","(35.960329298618284, 36.05038631856963)","(20.267268037602868, 20.342797028193445)","(8.118104600697283, 8.148357925657596)",0.2566847632124336,0.05264901255130461,0.20884555188938236,0.1683873284687678,2.9634831549496532e-05,0.00011170058868836819,0.0007389684287343323,0.0006280959723610202,0.0007414225773850758,0.04665139206129254,0.04502850997567265,0.03776449529528847,0.015126662480156483
cp3a4,2616.9605,0.0,53.3178,18.7217,0.9801718854592466,0.9586046782770616,0.40920173995397474,0.5015883562247545,0.40276782093774677,37.24514822176569,25.743327087939356,12.92063792521559,5.206824238519711,"(2616.7989583269123, 2617.122041673088)","(0.0, 0.0)","(53.18174590444497, 53.45385409555502)","(18.63385617172, 18.809543828279995)","(0.9801212889194664, 0.9802224819990908)","(0.9583454624681579, 0.9588638940859716)","(0.4078866485287932, 0.4105168313791311)","(0.500557905706515, 0.5026188067430171)","(0.4014604255769439, 0.4040752162985643)","(37.15922997864222, 37.33106646489076)","(25.642365546457896, 25.844288629420817)","(12.868709206292493, 12.97256664413877)","(5.1858977398492145, 5.227750737190251)",0.16154167308786782,0,0.1360540955550249,0.08784382827999693,5.0596539812208796e-05,0.00025921580890686524,0.001315091425168946,0.0010304505182510137,0.001307395360810204,0.08591824312426866,0.10096154148146042,0.051928718923138106,0.020926498670518434
csf1r,3094.6616,2.0384,28.3233,36.9767,0.9903979443388944,0.9856393427708942,0.706602302948892,0.7272497190104227,0.7020662199286124,49.219112064372005,48.49391066449042,29.983718567339942,11.955533352799794,"(3094.4964228451267, 3094.826777154873)","(2.009886401191549, 2.0669135988084513)","(28.22182051644529, 28.42477948355471)","(36.852792713818395, 37.10060728618161)","(0.9903640735011647, 0.9904318151768869)","(0.9855502284325985, 0.9857284571091831)","(0.7055889404818863, 0.7076156654158614)","(0.7263587326569362, 0.7281407053639083)","(0.7010438049260785, 0.7030886349311738)","(49.093590530321734, 49.344633598420515)","(48.383606419611155, 48.60421490936767)","(29.92039744283505, 30.047039691844756)","(11.930285056320304, 11.98078164927987)",0.1651771548731631,0.028513598808451057,0.1014794835547086,0.12390728618160551,3.387083786110523e-05,8.911433829228432e-05,0.0010133624669875774,0.0008909863534860563,0.0010224150025476275,0.12552153404939048,0.11030424487825741,0.06332112450485283,0.02524829647978244
cxcr4,851.0706,0.0,6.1296,24.7998,0.9930503401360055,0.987238910335494,0.888706060731011,0.8917288739272737,0.8851806725775474,29.448464157386788,29.448464157386788,29.192008290826507,16.082037472209183,"(850.9644306259266, 851.1767693740734)","(0.0, 0.0)","(6.0826059229838405, 6.176594077016159)","(24.70665314581181, 24.892946854188192)","(0.9929970588695963, 0.9931036214025127)","(0.9870165005968916, 0.9874613200740721)","(0.8878765383941151, 0.8895355830678974)","(0.8909629919966551, 0.8924947558578811)","(0.8843281897444839, 0.8860331554106076)","(29.341531159079466, 29.55539715569553)","(29.341531159079466, 29.55539715569553)","(29.09447866914629, 29.289537912508024)","(16.055431390162553, 16.10864355425597)",0.10616937407337446,0,0.04699407701615943,0.09314685418819124,5.328126645820497e-05,0.0002224097385902235,0.0008295223368911531,0.0007658819306129994,0.0008524828330618295,0.10693299830803227,0.10693299830803227,0.09752962168086654,0.026606082046708224
egfr,8679.2406,6.1169,70.7398,118.9027,0.9913400901408411,0.9893796053935298,0.7550996252136736,0.7681154870005693,0.7508877873730816,47.020940800411125,47.020940800411125,32.87466523804365,13.17948291074752,"(8678.984743083827, 8679.496456916171)","(6.067294610657746, 6.166505389342254)","(70.58684326488813, 70.89275673511187)","(118.69429867338086, 119.11110132661913)","(0.9913221846801802, 0.9913579956015101)","(0.9893110757083609, 0.9894481350787249)","(0.7545860400393303, 0.755613210388006)","(0.7676525348025566, 0.7685784391985652)","(0.750368222289629, 0.7514073524565289)","(46.95701021884275, 47.0848713819833)","(46.95701021884275, 47.0848713819833)","(32.839121263264374, 32.910209212824)","(13.16523329923662, 13.193732522258271)",0.2558569161719788,0.049605389342254114,0.15295673511187147,0.20840132661913913,1.790546066493537e-05,6.852968518200608e-05,0.0005135851743378606,0.0004629521980042961,0.0005195650834499688,0.06393058157027554,0.06393058157027554,0.03554397477981297,0.014249611510825488
